
Root grid = 4 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 4
Number of logical  levels of refinement = 2 (3 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=5.644095e+00 cycle=8700 time=6.883786e+00 dt=7.345121e-04
elapsed=5.718686e+00 cycle=8800 time=6.957510e+00 dt=7.224561e-04
elapsed=5.797520e+00 cycle=8900 time=7.026032e+00 dt=6.296311e-04
elapsed=5.876723e+00 cycle=9000 time=7.083050e+00 dt=5.142242e-04
elapsed=5.951374e+00 cycle=9100 time=7.134934e+00 dt=5.564148e-04
elapsed=6.026125e+00 cycle=9200 time=7.196300e+00 dt=7.004418e-04
elapsed=6.102113e+00 cycle=9300 time=7.272232e+00 dt=7.732646e-04
elapsed=6.178676e+00 cycle=9400 time=7.347283e+00 dt=7.549354e-04
elapsed=6.255046e+00 cycle=9500 time=7.423189e+00 dt=7.675013e-04
elapsed=6.331182e+00 cycle=9600 time=7.499032e+00 dt=7.553049e-04
elapsed=6.408612e+00 cycle=9700 time=7.576357e+00 dt=7.867860e-04
elapsed=6.486107e+00 cycle=9800 time=7.656306e+00 dt=8.060666e-04
elapsed=6.564537e+00 cycle=9900 time=7.737049e+00 dt=8.087538e-04
elapsed=6.642532e+00 cycle=10000 time=7.815731e+00 dt=7.342257e-04
elapsed=6.719267e+00 cycle=10100 time=7.889477e+00 dt=7.685765e-04
elapsed=6.796597e+00 cycle=10200 time=7.968995e+00 dt=7.979253e-04
elapsed=6.876474e+00 cycle=10300 time=8.047941e+00 dt=7.854122e-04
elapsed=6.954558e+00 cycle=10400 time=8.126136e+00 dt=7.716870e-04
elapsed=7.037923e+00 cycle=10500 time=8.202259e+00 dt=7.525062e-04
elapsed=7.117359e+00 cycle=10600 time=8.277180e+00 dt=7.462137e-04
elapsed=7.198357e+00 cycle=10700 time=8.351265e+00 dt=7.520154e-04
elapsed=7.277032e+00 cycle=10800 time=8.428011e+00 dt=7.675108e-04
elapsed=7.356335e+00 cycle=10900 time=8.504908e+00 dt=7.767958e-04
elapsed=7.438046e+00 cycle=11000 time=8.582066e+00 dt=7.789911e-04
elapsed=7.516160e+00 cycle=11100 time=8.659418e+00 dt=7.726048e-04
elapsed=7.601155e+00 cycle=11200 time=8.735824e+00 dt=7.724732e-04
elapsed=7.681774e+00 cycle=11300 time=8.811969e+00 dt=7.463046e-04
elapsed=7.760118e+00 cycle=11400 time=8.887590e+00 dt=7.611053e-04
elapsed=7.840040e+00 cycle=11500 time=8.963216e+00 dt=7.668721e-04
elapsed=7.920896e+00 cycle=11600 time=9.040116e+00 dt=7.658049e-04
elapsed=8.000148e+00 cycle=11700 time=9.115814e+00 dt=7.567687e-04
elapsed=8.079787e+00 cycle=11800 time=9.190977e+00 dt=7.414257e-04
elapsed=8.159366e+00 cycle=11900 time=9.265300e+00 dt=7.524603e-04
elapsed=8.239675e+00 cycle=12000 time=9.341433e+00 dt=7.559730e-04
elapsed=8.319032e+00 cycle=12100 time=9.417997e+00 dt=7.665485e-04
elapsed=8.398637e+00 cycle=12200 time=9.495566e+00 dt=7.930052e-04
elapsed=8.477336e+00 cycle=12300 time=9.572992e+00 dt=7.584476e-04
elapsed=8.556848e+00 cycle=12400 time=9.645827e+00 dt=6.969200e-04
elapsed=8.636008e+00 cycle=12500 time=9.713994e+00 dt=6.655533e-04
elapsed=8.713159e+00 cycle=12600 time=9.779995e+00 dt=6.542461e-04
elapsed=8.793212e+00 cycle=12700 time=9.844572e+00 dt=6.330778e-04
elapsed=8.871702e+00 cycle=12800 time=9.907512e+00 dt=6.236572e-04
elapsed=8.952269e+00 cycle=12900 time=9.969798e+00 dt=6.218927e-04

Terminating on time limit
time=1.000000e+01 cycle=12949
tlim=1.000000e+01 nlim=-1

MeshBlock-cycles = 47008
cpu time used  = 8.984767e+00
zone-cycles/cpu_second = 2.678767e+06
particle-updates/cpu_second = 0.000000e+00
