
Root grid = 16 x 1 x 1 MeshBlocks
Total number of MeshBlocks = 16
Number of logical  levels of refinement = 4 (5 levels total)
Number of physical levels of refinement = 0 (1 levels total)
Number of parallel ranks = 1

Setup complete, executing task list(s)...

elapsed=1.970092e+02 cycle=66100 time=5.662117e+00 dt=8.641781e-05
elapsed=1.993327e+02 cycle=66200 time=5.670544e+00 dt=8.419428e-05
elapsed=2.019917e+02 cycle=66300 time=5.679258e+00 dt=9.230569e-05
elapsed=2.053271e+02 cycle=66400 time=5.688490e+00 dt=9.210511e-05
elapsed=2.079162e+02 cycle=66500 time=5.697627e+00 dt=9.037172e-05
elapsed=2.104193e+02 cycle=66600 time=5.706632e+00 dt=8.947671e-05
elapsed=2.128019e+02 cycle=66700 time=5.715404e+00 dt=8.586026e-05
elapsed=2.154792e+02 cycle=66800 time=5.723920e+00 dt=8.505806e-05
elapsed=2.180395e+02 cycle=66900 time=5.732490e+00 dt=8.594614e-05
elapsed=2.206194e+02 cycle=67000 time=5.741030e+00 dt=8.549016e-05
elapsed=2.230105e+02 cycle=67100 time=5.749492e+00 dt=8.476896e-05
elapsed=2.254011e+02 cycle=67200 time=5.757921e+00 dt=8.380390e-05
elapsed=2.277568e+02 cycle=67300 time=5.766308e+00 dt=8.374397e-05
elapsed=2.302968e+02 cycle=67400 time=5.774770e+00 dt=8.533826e-05
elapsed=2.327064e+02 cycle=67500 time=5.783276e+00 dt=8.481164e-05
elapsed=2.352719e+02 cycle=67600 time=5.791727e+00 dt=8.469524e-05
elapsed=2.376417e+02 cycle=67700 time=5.800044e+00 dt=8.302502e-05
elapsed=2.402090e+02 cycle=67800 time=5.808526e+00 dt=8.520044e-05
elapsed=2.426252e+02 cycle=67900 time=5.817156e+00 dt=8.789593e-05
elapsed=2.451060e+02 cycle=68000 time=5.826016e+00 dt=8.911694e-05
elapsed=2.475646e+02 cycle=68100 time=5.834948e+00 dt=8.814199e-05
elapsed=2.498896e+02 cycle=68200 time=5.843435e+00 dt=8.273105e-05
elapsed=2.523542e+02 cycle=68300 time=5.851715e+00 dt=8.359628e-05
elapsed=2.549243e+02 cycle=68400 time=5.859918e+00 dt=8.781581e-05
elapsed=2.573590e+02 cycle=68500 time=5.868666e+00 dt=8.715116e-05
elapsed=2.599192e+02 cycle=68600 time=5.877342e+00 dt=8.617259e-05
elapsed=2.625542e+02 cycle=68700 time=5.885919e+00 dt=8.572218e-05
elapsed=2.654019e+02 cycle=68800 time=5.894517e+00 dt=8.597250e-05
elapsed=2.677753e+02 cycle=68900 time=5.903055e+00 dt=8.544393e-05
elapsed=2.701655e+02 cycle=69000 time=5.911708e+00 dt=8.731507e-05
elapsed=2.732762e+02 cycle=69100 time=5.920241e+00 dt=8.235193e-05
elapsed=2.758476e+02 cycle=69200 time=5.928354e+00 dt=8.157071e-05
elapsed=2.784007e+02 cycle=69300 time=5.936912e+00 dt=8.712412e-05
elapsed=2.810270e+02 cycle=69400 time=5.945551e+00 dt=8.473985e-05
elapsed=2.836295e+02 cycle=69500 time=5.953950e+00 dt=8.251888e-05
elapsed=2.863216e+02 cycle=69600 time=5.962077e+00 dt=8.026029e-05
elapsed=2.886401e+02 cycle=69700 time=5.969945e+00 dt=7.677502e-05
elapsed=2.908527e+02 cycle=69800 time=5.977304e+00 dt=6.966788e-05
elapsed=2.933837e+02 cycle=69900 time=5.985014e+00 dt=8.353789e-05
elapsed=2.957639e+02 cycle=70000 time=5.993428e+00 dt=8.380378e-05
elapsed=2.981983e+02 cycle=70100 time=6.001590e+00 dt=7.720330e-05
elapsed=3.008194e+02 cycle=70200 time=6.009309e+00 dt=8.291566e-05
elapsed=3.036249e+02 cycle=70300 time=6.017824e+00 dt=8.582527e-05
elapsed=3.060561e+02 cycle=70400 time=6.026310e+00 dt=8.262887e-05
elapsed=3.087449e+02 cycle=70500 time=6.034694e+00 dt=8.433640e-05
elapsed=3.112701e+02 cycle=70600 time=6.043053e+00 dt=8.263483e-05
elapsed=3.138531e+02 cycle=70700 time=6.051332e+00 dt=8.312837e-05
elapsed=3.162403e+02 cycle=70800 time=6.059792e+00 dt=8.418566e-05
elapsed=3.185721e+02 cycle=70900 time=6.068070e+00 dt=8.270236e-05
elapsed=3.212232e+02 cycle=71000 time=6.076342e+00 dt=8.170231e-05
elapsed=3.236021e+02 cycle=71100 time=6.084374e+00 dt=7.847729e-05
elapsed=3.259270e+02 cycle=71200 time=6.092055e+00 dt=7.502440e-05
elapsed=3.285222e+02 cycle=71300 time=6.099668e+00 dt=7.859572e-05
elapsed=3.310656e+02 cycle=71400 time=6.107861e+00 dt=8.539704e-05
elapsed=3.335562e+02 cycle=71500 time=6.116410e+00 dt=8.566944e-05
elapsed=3.359778e+02 cycle=71600 time=6.124839e+00 dt=8.284687e-05
elapsed=3.385793e+02 cycle=71700 time=6.133072e+00 dt=8.108090e-05
